"from","to","same.conf","value","group","data_plot"
"FloridaState","NorthCarolina",1,"Atlantic Coast",2,2
"FloridaState","Maryland",1,"Atlantic Coast",2,2
"FresnoState","California",0,"Western Athletic",2,2
"FresnoState","Nevada",1,"Western Athletic",2,2
"FresnoState","Tulsa",1,"Western Athletic",2,2
"FresnoState","TexasChristian",0,"Western Athletic",2,2
"FresnoState","Hawaii",1,"Western Athletic",2,2
"FresnoState","Rice",1,"Western Athletic",2,2
"FresnoState","TexasElPaso",1,"Western Athletic",2,2
"FresnoState","SouthernMethodist",1,"Western Athletic",2,2
"FresnoState","SanJoseState",1,"Western Athletic",2,2
"FresnoState","OhioState",0,"Western Athletic",2,2
"Georgia","Arkansas",1,"Southeastern",2,2
"GeorgiaTech","Navy",0,"Atlantic Coast",2,2
"GeorgiaTech","Duke",1,"Atlantic Coast",2,2
"GeorgiaTech","Maryland",1,"Atlantic Coast",2,2
"GeorgiaTech","WakeForest",1,"Atlantic Coast",2,2
"GeorgiaTech","NorthCarolina",1,"Atlantic Coast",2,2
"GeorgiaTech","Clemson",1,"Atlantic Coast",2,2
"GeorgiaTech","Georgia",0,"Atlantic Coast",2,2
"Hawaii",NA,NA,"Western Athletic",2,2
"Houston","Rice",0,"Conference USA",2,2
"Houston","SouthernMethodist",0,"Conference USA",2,2
"Houston","Army",1,"Conference USA",2,2
"Houston","Tulane",1,"Conference USA",2,2
"Houston","Cincinnati",1,"Conference USA",2,2
"Houston","Memphis",1,"Conference USA",2,2
"Houston","Louisville",1,"Conference USA",2,2
"Houston","SouthernMississippi",1,"Conference USA",2,2
"Houston","LouisianaState",0,"Conference USA",2,2
"Houston","Texas",0,"Conference USA",2,2
"Idaho","Washington",0,"Sun Belt",2,2
"Idaho","NewMexicoState",1,"Sun Belt",2,2
"Idaho","WashingtonState",0,"Sun Belt",2,2
"Idaho","UtahState",0,"Sun Belt",2,2
"Idaho","Oregon",0,"Sun Belt",2,2
"Illinois","MichiganState",1,"Big Ten",2,2
"Illinois","California",0,"Big Ten",2,2
"Illinois","Indiana",1,"Big Ten",2,2
"Indiana",NA,NA,"Big Ten",2,2
"Iowa","WesternMichigan",0,"Big Ten",2,2
"Iowa","OhioState",1,"Big Ten",2,2
"Iowa","Nebraska",0,"Big Ten",2,2
"Iowa","Indiana",1,"Big Ten",2,2
"Iowa","Northwestern",1,"Big Ten",2,2
"Iowa","Wisconsin",1,"Big Ten",2,2
"Iowa","IowaState",0,"Big Ten",2,2
"Iowa","KansasState",0,"Big Ten",2,2
"Iowa","Illinois",1,"Big Ten",2,2
"Iowa","Minnesota",1,"Big Ten",2,2
"Iowa","PennState",1,"Big Ten",2,2
"Iowa","MichiganState",1,"Big Ten",2,2
"IowaState","TexasA&M",1,"Big Twelve",2,2
"IowaState","OklahomaState",1,"Big Twelve",2,2
"IowaState","Nebraska",1,"Big Twelve",2,2
"IowaState","Missouri",1,"Big Twelve",2,2
"IowaState","NevadaLasVegas",0,"Big Twelve",2,2
"Kansas","Missouri",1,"Big Twelve",2,2
"Kansas","Nebraska",1,"Big Twelve",2,2
"Kansas","Texas",1,"Big Twelve",2,2
"Kansas","Oklahoma",1,"Big Twelve",2,2
"Kansas","AlabamaBirmingham",0,"Big Twelve",2,2
"Kansas","SouthernMethodist",0,"Big Twelve",2,2
"Kansas","IowaState",1,"Big Twelve",2,2
"KansasState","TexasTech",1,"Big Twelve",2,2
"KansasState","Nebraska",1,"Big Twelve",2,2
"KansasState","Oklahoma",1,"Big Twelve",2,2
"KansasState","Missouri",1,"Big Twelve",2,2
"KansasState","LouisianaTech",0,"Big Twelve",2,2
"KansasState","TexasA&M",1,"Big Twelve",2,2
"KansasState","Kansas",1,"Big Twelve",2,2
"KansasState","BallState",0,"Big Twelve",2,2
"KansasState","NorthTexas",0,"Big Twelve",2,2
"KansasState","Colorado",1,"Big Twelve",2,2
"KansasState","IowaState",1,"Big Twelve",2,2
"Kent","Marshall",1,"Mid-American",2,2
"Kent","Pittsburgh",0,"Mid-American",2,2
"Kent","MiamiOhio",1,"Mid-American",2,2
"Kent","Ohio",1,"Mid-American",2,2
"Kentucky","Tennessee",1,"Southeastern",2,2
"Kentucky","LouisianaState",1,"Southeastern",2,2
"Kentucky","SouthCarolina",1,"Southeastern",2,2
"Kentucky","Indiana",0,"Southeastern",2,2
"Kentucky","Vanderbilt",1,"Southeastern",2,2
"Kentucky","Louisville",0,"Southeastern",2,2
"Kentucky","MississippiState",1,"Southeastern",2,2
"Kentucky","Georgia",1,"Southeastern",2,2
"Kentucky","Mississippi",1,"Southeastern",2,2
"LouisianaLafayette","AlabamaBirmingham",0,"Sun Belt",2,2
"LouisianaLafayette","Texas",0,"Sun Belt",2,2
"LouisianaMonroe","Minnesota",0,"Sun Belt",2,2
"LouisianaMonroe","LouisianaLafayette",1,"Sun Belt",2,2
"LouisianaMonroe","Memphis",0,"Sun Belt",2,2
"LouisianaMonroe","MiddleTennesseeState",1,"Sun Belt",2,2
"LouisianaMonroe","Tennessee",0,"Sun Belt",2,2
"LouisianaMonroe","Arkansas",0,"Sun Belt",2,2
"LouisianaState","Arkansas",1,"Southeastern",2,2
"LouisianaState","AlabamaBirmingham",0,"Southeastern",2,2
"LouisianaTech","LouisianaMonroe",0,"Western Athletic",2,2
"LouisianaTech","Hawaii",1,"Western Athletic",2,2
"LouisianaTech","MiddleTennesseeState",0,"Western Athletic",2,2
"LouisianaTech","LouisianaLafayette",0,"Western Athletic",2,2
"LouisianaTech","MiamiFlorida",0,"Western Athletic",2,2
"LouisianaTech","Tulsa",1,"Western Athletic",2,2
"Louisville","Army",1,"Conference USA",2,2
"Louisville","Cincinnati",1,"Conference USA",2,2
"Louisville","SouthernMississippi",1,"Conference USA",2,2
"Louisville","AlabamaBirmingham",1,"Conference USA",2,2
"Louisville","Tulane",1,"Conference USA",2,2
"Marshall","MichiganState",0,"Mid-American",2,2
"Maryland",NA,NA,"Atlantic Coast",2,2
"Memphis","AlabamaBirmingham",1,"Conference USA",2,2
"Memphis","Tennessee",0,"Conference USA",2,2
"Memphis","Army",1,"Conference USA",2,2
"Memphis","Cincinnati",1,"Conference USA",2,2
"Memphis","Tulane",1,"Conference USA",2,2
"Memphis","SouthernMississippi",1,"Conference USA",2,2
"MiamiFlorida",NA,NA,"Big East",2,2
"MiamiOhio","Marshall",1,"Mid-American",2,2
"MiamiOhio","Ohio",1,"Mid-American",2,2
"MiamiOhio","Cincinnati",0,"Mid-American",2,2
"MiamiOhio","Vanderbilt",0,"Mid-American",2,2
"Michigan","Illinois",1,"Big Ten",2,2
"Michigan","MichiganState",1,"Big Ten",2,2
"Michigan","Indiana",1,"Big Ten",2,2
"Michigan","Purdue",1,"Big Ten",2,2
"Michigan","OhioState",1,"Big Ten",2,2
"Michigan","Rice",0,"Big Ten",2,2
"MichiganState","Missouri",0,"Big Ten",2,2
"MiddleTennesseeState","AlabamaBirmingham",0,"Sun Belt",2,2
"MiddleTennesseeState","LouisianaLafayette",1,"Sun Belt",2,2
"MiddleTennesseeState","MississippiState",0,"Sun Belt",2,2
"MiddleTennesseeState","Illinois",0,"Sun Belt",2,2
"MiddleTennesseeState","Maryland",0,"Sun Belt",2,2
"Minnesota","Indiana",1,"Big Ten",2,2
"Minnesota","Ohio",0,"Big Ten",2,2
"Minnesota","Illinois",1,"Big Ten",2,2
"Mississippi","Georgia",1,"Southeastern",2,2
"Mississippi","NevadaLasVegas",0,"Southeastern",2,2
"Mississippi","LouisianaState",1,"Southeastern",2,2
"Mississippi","Arkansas",1,"Southeastern",2,2
"MississippiState","Memphis",0,"Southeastern",2,2
"MississippiState","SouthCarolina",1,"Southeastern",2,2
"MississippiState","LouisianaState",1,"Southeastern",2,2
"MississippiState","Arkansas",1,"Southeastern",2,2
"MississippiState","Mississippi",1,"Southeastern",2,2
"Missouri","OklahomaState",1,"Big Twelve",2,2
"Missouri","Clemson",0,"Big Twelve",2,2
"Navy","Toledo",0,"Independents",2,2
"Navy","NotreDame",1,"Independents",2,2
"Navy","Rutgers",0,"Independents",2,2
"Navy","AirForce",0,"Independents",2,2
"Navy","Army",0,"Independents",2,2
"Navy","WakeForest",0,"Independents",2,2
"Navy","TexasChristian",0,"Independents",2,2
"Navy","Tulane",0,"Independents",2,2
"Nebraska","Oklahoma",1,"Big Twelve",2,2
"Nebraska","NotreDame",0,"Big Twelve",2,2
"Nebraska","Missouri",1,"Big Twelve",2,2
"Nevada","NevadaLasVegas",0,"Western Athletic",2,2
"Nevada","TexasChristian",0,"Western Athletic",2,2
"Nevada","TexasElPaso",1,"Western Athletic",2,2
"Nevada","Tulsa",1,"Western Athletic",2,2
"Nevada","Oregon",0,"Western Athletic",2,2
"Nevada","SanJoseState",1,"Western Athletic",2,2
"Nevada","Hawaii",1,"Western Athletic",2,2
"NevadaLasVegas","Hawaii",0,"Mountain West",2,2
"NewMexico","AirForce",1,"Mountain West",2,2
"NewMexico","ColoradoState",1,"Mountain West",2,2
"NewMexico","TexasTech",0,"Mountain West",2,2
"NewMexico","Utah",1,"Mountain West",2,2
"NewMexico","BoiseState",0,"Mountain West",2,2
"NewMexico","SanDiegoState",1,"Mountain West",2,2
"NewMexico","NewMexicoState",0,"Mountain West",2,2
"NewMexico","OregonState",0,"Mountain West",2,2
"NewMexico","Wyoming",1,"Mountain West",2,2
"NewMexico","NevadaLasVegas",1,"Mountain West",2,2
"NewMexicoState","Army",0,"Sun Belt",2,2
"NewMexicoState","Georgia",0,"Sun Belt",2,2
"NewMexicoState","Tulsa",0,"Sun Belt",2,2
"NewMexicoState","TexasElPaso",0,"Sun Belt",2,2
"NewMexicoState","SouthCarolina",0,"Sun Belt",2,2
"NewMexicoState","UtahState",0,"Sun Belt",2,2
"NorthCarolina","WakeForest",1,"Atlantic Coast",2,2
"NorthCarolina","Marshall",0,"Atlantic Coast",2,2
"NorthCarolina","Clemson",1,"Atlantic Coast",2,2
"NorthCarolina","Maryland",1,"Atlantic Coast",2,2
"NorthCarolinaState","WakeForest",1,"Atlantic Coast",2,2
"NorthCarolinaState","SouthernMethodist",0,"Atlantic Coast",2,2
"NorthCarolinaState","Duke",1,"Atlantic Coast",2,2
"NorthCarolinaState","Clemson",1,"Atlantic Coast",2,2
"NorthCarolinaState","Virginia",1,"Atlantic Coast",2,2
"NorthCarolinaState","NorthCarolina",1,"Atlantic Coast",2,2
"NorthCarolinaState","GeorgiaTech",1,"Atlantic Coast",2,2
"NorthCarolinaState","Maryland",1,"Atlantic Coast",2,2
"NorthCarolinaState","Indiana",0,"Atlantic Coast",2,2
"NorthernIllinois","CentralFlorida",0,"Mid-American",2,2
"NorthernIllinois","BallState",1,"Mid-American",2,2
"NorthernIllinois","EasternMichigan",1,"Mid-American",2,2
"NorthernIllinois","Toledo",1,"Mid-American",2,2
"NorthernIllinois","Buffalo",1,"Mid-American",2,2
"NorthernIllinois","Akron",1,"Mid-American",2,2
"NorthernIllinois","WesternMichigan",1,"Mid-American",2,2
"NorthernIllinois","CentralMichigan",1,"Mid-American",2,2
"NorthernIllinois","Auburn",0,"Mid-American",2,2
"NorthernIllinois","Northwestern",0,"Mid-American",2,2
"NorthTexas","NewMexicoState",1,"Sun Belt",2,2
"NorthTexas","LouisianaLafayette",1,"Sun Belt",2,2
"NorthTexas","BoiseState",0,"Sun Belt",2,2
"NorthTexas","NevadaLasVegas",0,"Sun Belt",2,2
"NorthTexas","UtahState",0,"Sun Belt",2,2
"NorthTexas","Idaho",1,"Sun Belt",2,2
"NorthTexas","ArkansasState",1,"Sun Belt",2,2
"Northwestern","Indiana",1,"Big Ten",2,2
"Northwestern","Illinois",1,"Big Ten",2,2
"Northwestern","Duke",0,"Big Ten",2,2
"Northwestern","TexasChristian",0,"Big Ten",2,2
"Northwestern","Purdue",1,"Big Ten",2,2
"Northwestern","Minnesota",1,"Big Ten",2,2
"Northwestern","Wisconsin",1,"Big Ten",2,2
"Northwestern","MichiganState",1,"Big Ten",2,2
"Northwestern","Michigan",1,"Big Ten",2,2
"NotreDame","AirForce",0,"Independents",2,2
"NotreDame","Rutgers",0,"Independents",2,2
"NotreDame","MichiganState",0,"Independents",2,2
"Ohio","IowaState",0,"Mid-American",2,2
"Ohio","Marshall",1,"Mid-American",2,2
"OhioState","MiamiOhio",0,"Big Ten",2,2
"OhioState","Illinois",1,"Big Ten",2,2
"OhioState","MichiganState",1,"Big Ten",2,2
"OhioState","Minnesota",1,"Big Ten",2,2
"Oklahoma","Texas",1,"Big Twelve",2,2
"Oklahoma","OklahomaState",1,"Big Twelve",2,2
"OklahomaState",NA,NA,"Big Twelve",2,2
"Oregon","California",1,"Pacific Ten",2,2
"Oregon","OregonState",1,"Pacific Ten",2,2
"Oregon","WashingtonState",1,"Pacific Ten",2,2
"OregonState","California",1,"Pacific Ten",2,2
"PennState","MichiganState",1,"Big Ten",2,2
"PennState","Pittsburgh",0,"Big Ten",2,2
"PennState","Illinois",1,"Big Ten",2,2
"PennState","OhioState",1,"Big Ten",2,2
"PennState","LouisianaTech",0,"Big Ten",2,2
"PennState","Minnesota",1,"Big Ten",2,2
"PennState","Purdue",1,"Big Ten",2,2
"PennState","Indiana",1,"Big Ten",2,2
"PennState","SouthernCalifornia",0,"Big Ten",2,2
"PennState","Michigan",1,"Big Ten",2,2
"PennState","Toledo",0,"Big Ten",2,2
"Pittsburgh","NorthCarolina",0,"Big East",2,2
"Pittsburgh","Temple",1,"Big East",2,2
"Pittsburgh","MiamiFlorida",1,"Big East",2,2
"Pittsburgh","Rutgers",1,"Big East",2,2
"Purdue","OhioState",1,"Big Ten",2,2
"Purdue","Indiana",1,"Big Ten",2,2
"Purdue","NotreDame",0,"Big Ten",2,2
"Purdue","MichiganState",1,"Big Ten",2,2
"Purdue","Kent",0,"Big Ten",2,2
"Purdue","Minnesota",1,"Big Ten",2,2
"Rice","TexasElPaso",1,"Western Athletic",2,2
"Rice","Nevada",1,"Western Athletic",2,2
"Rice","Hawaii",1,"Western Athletic",2,2
"Rice","SanJoseState",1,"Western Athletic",2,2
"Rice","SouthernMethodist",1,"Western Athletic",2,2
"Rice","Tulsa",1,"Western Athletic",2,2
"Rice","Oklahoma",0,"Western Athletic",2,2
"Rice","TexasChristian",0,"Western Athletic",2,2
"Rutgers","MiamiFlorida",1,"Big East",2,2
"SanDiegoState","Utah",1,"Mountain West",2,2
"SanDiegoState","Arizona",0,"Mountain West",2,2
"SanDiegoState","Wyoming",1,"Mountain West",2,2
"SanDiegoState","NevadaLasVegas",1,"Mountain West",2,2
"SanDiegoState","ColoradoState",1,"Mountain West",2,2
"SanDiegoState","Illinois",0,"Mountain West",2,2
"SanDiegoState","AirForce",1,"Mountain West",2,2
"SanDiegoState","OregonState",0,"Mountain West",2,2
"SanJoseState","TexasElPaso",1,"Western Athletic",2,2
"SanJoseState","Hawaii",1,"Western Athletic",2,2
"SanJoseState","TexasChristian",0,"Western Athletic",2,2
"SanJoseState","Nebraska",0,"Western Athletic",2,2
"SanJoseState","Tulsa",1,"Western Athletic",2,2
"SanJoseState","Stanford",0,"Western Athletic",2,2
"SouthCarolina","Tennessee",1,"Southeastern",2,2
"SouthCarolina","Arkansas",1,"Southeastern",2,2
"SouthCarolina","Georgia",1,"Southeastern",2,2
"SouthCarolina","Clemson",0,"Southeastern",2,2
"SouthernCalifornia","UCLA",1,"Pacific Ten",2,2
"SouthernCalifornia","Stanford",1,"Pacific Ten",2,2
"SouthernCalifornia","California",1,"Pacific Ten",2,2
"SouthernCalifornia","WashingtonState",1,"Pacific Ten",2,2
"SouthernCalifornia","Oregon",1,"Pacific Ten",2,2
"SouthernCalifornia","NotreDame",0,"Pacific Ten",2,2
"SouthernCalifornia","Colorado",0,"Pacific Ten",2,2
"SouthernCalifornia","ArizonaState",1,"Pacific Ten",2,2
"SouthernCalifornia","Arizona",1,"Pacific Ten",2,2
"SouthernCalifornia","SanJoseState",0,"Pacific Ten",2,2
"SouthernCalifornia","OregonState",1,"Pacific Ten",2,2
"SouthernMethodist","Tulsa",1,"Western Athletic",2,2
"SouthernMethodist","TexasElPaso",1,"Western Athletic",2,2
"SouthernMethodist","SanJoseState",1,"Western Athletic",2,2
"SouthernMethodist","Hawaii",1,"Western Athletic",2,2
"SouthernMethodist","Nevada",1,"Western Athletic",2,2
"SouthernMethodist","Tulane",0,"Western Athletic",2,2
"SouthernMethodist","TexasChristian",0,"Western Athletic",2,2
"SouthernMississippi","Tennessee",0,"Conference USA",2,2
"SouthernMississippi","AlabamaBirmingham",1,"Conference USA",2,2
"SouthernMississippi","Tulane",1,"Conference USA",2,2
"SouthernMississippi","Cincinnati",1,"Conference USA",2,2
"SouthernMississippi","OklahomaState",0,"Conference USA",2,2
"Stanford","WashingtonState",1,"Pacific Ten",2,2
"Stanford","OregonState",1,"Pacific Ten",2,2
"Stanford","California",1,"Pacific Ten",2,2
"Stanford","NotreDame",0,"Pacific Ten",2,2
"Stanford","Texas",0,"Pacific Ten",2,2
"Syracuse","Rutgers",1,"Big East",2,2
"Syracuse","Cincinnati",0,"Big East",2,2
"Syracuse","Temple",1,"Big East",2,2
"Syracuse","Pittsburgh",1,"Big East",2,2
"Syracuse","MiamiFlorida",1,"Big East",2,2
"Syracuse","EastCarolina",0,"Big East",2,2
"Temple","Navy",0,"Big East",2,2
"Temple","Maryland",0,"Big East",2,2
"Temple","Rutgers",1,"Big East",2,2
"Temple","MiamiFlorida",1,"Big East",2,2
"Tennessee","Georgia",1,"Southeastern",2,2
"Tennessee","Arkansas",1,"Southeastern",2,2
"Tennessee","LouisianaState",1,"Southeastern",2,2
"Texas","Missouri",1,"Big Twelve",2,2
"Texas","OklahomaState",1,"Big Twelve",2,2
"TexasA&M","Texas",1,"Big Twelve",2,2
"TexasA&M","NotreDame",0,"Big Twelve",2,2
"TexasA&M","TexasElPaso",0,"Big Twelve",2,2
"TexasA&M","OklahomaState",1,"Big Twelve",2,2
