"nick_name","age","gender","academic_study","ip_address"
"A387T0ENXVTZQD","31-35","I choose not to provide this information","High School or Less",NA
"AU849EHZNGV2Z","26-30","Male","Some Undergraduate Courses",NA
" A20J7F7PKEZZV2","31-35","Female","Undergraduate Degree",NA
"A3VIQ9XPOYB8K6","18-25","Female","Some Undergraduate Courses",NA
"AFQKLIYNCVZTL","31-35","Male","Some Undergraduate Courses",NA
"A2NAKIXS3DVGAA","18-25","Male","Undergraduate Degree",NA
"A2NA2OJT15COZY","31-35","Male","High School or Less",NA
"AV74R07MDJ2VL","18-25","Male","High School or Less",NA
"A387T0ENXVTZQD","31-35","I choose not to provide this information","High School or Less",NA
"A3U3L1XQVR362A","51-55","Female","Some Undergraduate Courses",NA
"A1XVZCQ983ETMR","18-25","Male","Undergraduate Degree",NA
"A2BS7B4W5GCS4O","26-30","Female","High School or Less",NA
"A3V1ZYXBJYCIIE","41-45","Male","Undergraduate Degree",NA
"AUT86QO3IUZUS","26-30","Male","Undergraduate Degree",NA
"A3GPTSDDHJ2DBV","26-30","Female","Undergraduate Degree",NA
"AAASQIW3J32OL","56-60","Female","Undergraduate Degree",NA
"A27GZN1JOOIAUW","26-30","Male","Undergraduate Degree",NA
" A20J7F7PKEZZV2","31-35","Female","Undergraduate Degree",NA
"A3U3L1XQVR362A","51-55","Female","High School or Less",NA
"A3OBVC5L4E5NCG","31-35","Male","Some Graduate Courses",NA
"APGX2WZ59OWDN","18-25","Female","Some Undergraduate Courses",NA
"A3NM3GAVMJEI3J","41-45","Female","Some Undergraduate Courses",NA
"A10VLJT7V96D9W","31-35","Male","Undergraduate Degree",NA
"A36SM7QM8OK3H6","26-30","Female","Undergraduate Degree",NA
"ALDKDKRBR4LXD","36-40","Male","Graduate Degree",NA
"A2MW2KLUNJ5SF8","41-45","Male","Some Undergraduate Courses",NA
"ABNIK627MHQJQ","18-25","Female","Undergraduate Degree",NA
"A2WH3GIS2KF8LU","31-35","Male","Some Undergraduate Courses",NA
"A1N4AZ1QXPOPXH","26-30","Male","Some Undergraduate Courses",NA
"AUAN582MLI96N","36-40","Male","Graduate Degree",NA
"A195MOXRMNHRVT","31-35","Female","Undergraduate Degree",NA
"AS18U8QBF6PJF","36-40","Male","Some Undergraduate Courses",NA
"AS18U8QBF6PJF","36-40","Male","Some Undergraduate Courses",NA
"A313JEGCVV2UES","26-30","Male","Some Undergraduate Courses",NA
"AS18U8QBF6PJF","36-40","Male","Some Undergraduate Courses",NA
"A2VE5IV9OD2SK1","36-40","Male","Undergraduate Degree",NA
"A2RBF3IIJP15IH","31-35","Male","Undergraduate Degree",NA
"A3MPHGI584PR1U","31-35","Female","Undergraduate Degree",NA
"A1TH0PTGDSBWMO","26-30","Female","High School or Less",NA
"A2RBF3IIJP15IH","31-35","Male","Undergraduate Degree",NA
"A2BWQIY34IQ116","26-30","Male","Some Undergraduate Courses",NA
"A1FHS282JP487T","26-30","Male","Undergraduate Degree",NA
"A3U3L1XQVR362A","51-55","Female","High School or Less",NA
"A1OQ3KL56KMQSU","31-35","Male","Undergraduate Degree",NA
"A2HHGI5CNSS5PD","46-50","Male","Graduate Degree",NA
"A3N0QZ9ZKUCTCQ","26-30","Male","Undergraduate Degree",NA
"A3083883A6RJES","26-30","Male","Undergraduate Degree",NA
"A3HUD3CNH2GXGW","36-40","Female","Graduate Degree",NA
"A1ZZ7YO3YASNIP","18-25","Female","Undergraduate Degree",NA
"A3US0VOOEK3VZ8","31-35","Female","Some Undergraduate Courses",NA
"A7RAVFS10BUZ1","51-55","Male","Some Undergraduate Courses",NA
"A3HUD3CNH2GXGW","36-40","Female","Graduate Degree",NA
"A2FUPODRRCESB","36-40","Female","Undergraduate Degree",NA
"A16ICTTBPD7Q6Y","31-35","Female","Undergraduate Degree",NA
"AWW4I36TBGE2D","31-35","Male","Undergraduate Degree",NA
"A1YD6IATEIIG4X","18-25","Female","Some Undergraduate Courses",NA
"A3MIIUL4O2DPY7","31-35","Male","Some Undergraduate Courses",NA
"A1X94LTZZQMHTP","26-30","Male","Some Undergraduate Courses",NA
"A1EQ2HDHF2WWSY","26-30","Female","Some Undergraduate Courses",NA
"A61GHYNS1DFT7","26-30","Male","Undergraduate Degree",NA
"A2HBI8BAE2C5QH","Over 60","I choose not to provide this information","I choose not to provide this information",NA
"A2BXVBVLIA1237","31-35","Male","Undergraduate Degree",NA
" APO6KZZ79PO9Q","31-35","Male","Graduate Degree",NA
